Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
mfeat-morphological.csv,KNORAU,8,"{'k': 8, 'DSEL_perc': 0.7000000000000001}",0.985,0.947222222,0.052777778,0.968159349,0.996805556,0.968677945,0.021834612,0.522121191
mfeat-morphological.csv,METADES,8,"{'k': 9, 'DSEL_perc': 0.6}",0.995,0.997222222,0.002777778,0.976190476,0.997222222,0.976190476,0.244908571,1.047542095
mfeat-morphological.csv,AdaBoostClassifier,8,"{'n_estimators': 25, 'learning_rate': 0.42379881762733684}",1,1,0,1,1,1,0.068145752,0.0238204
mfeat-morphological.csv,MCB,9,"{'k': 6, 'DSEL_perc': 0.9}",0.95,0.927777778,0.072222222,0.84040672,0.919444444,0.765344828,0.017802,0.543851852
mfeat-morphological.csv,KNORAU,9,"{'k': 7, 'DSEL_perc': 0.9}",0.91,0.905555556,0.094444444,0.758681786,0.948611111,0.930583503,0.019571066,0.539234877
mfeat-morphological.csv,METADES,9,"{'k': 9, 'DSEL_perc': 0.8}",0.995,0.975,0.025,0.997237569,0.975,0.9775,0.249065638,1.03782177
mfeat-morphological.csv,AdaBoostClassifier,9,"{'n_estimators': 75, 'learning_rate': 0.38268027161031265}",0.995,0.975,0.025,0.997237569,1,1,0.195448875,0.06146431
mfeat-morphological.csv,MCB,10,"{'k': 2, 'DSEL_perc': 0.8}",0.995,0.975,0.025,0.997237569,0.975,0.9775,0.020172358,0.008840561
mfeat-morphological.csv,KNORAU,10,"{'k': 3, 'DSEL_perc': 0.8}",0.99,0.95,0.05,0.994505495,0.974861111,0.97625,0.021135807,0.523319244
mfeat-morphological.csv,METADES,10,"{'k': 8, 'DSEL_perc': 0.9}",0.995,0.975,0.025,0.997237569,0.975,0.9775,0.243232489,1.050260067
mfeat-morphological.csv,AdaBoostClassifier,10,"{'n_estimators': 60, 'learning_rate': 0.11449167020656695}",0.995,0.975,0.025,0.997237569,0.999444444,0.995833333,0.15147686,0.049061775
lupus.csv,MCB,1,"{'k': 3, 'DSEL_perc': 0.8}",0.666666667,0.666666667,0.333333333,0.65,0.666666667,0.638888889,0.016185999,11.69477569
lupus.csv,KNORAU,1,"{'k': 5, 'DSEL_perc': 0.6}",0.888888889,0.833333333,0.166666667,0.928571429,0.666666667,0.763888889,0.016524792,11.55498293
lupus.csv,METADES,1,"{'k': 6, 'DSEL_perc': 0.5}",0.666666667,0.666666667,0.333333333,0.65,0.611111111,0.603174603,0.224640846,23.14996719
lupus.csv,AdaBoostClassifier,1,"{'n_estimators': 74, 'learning_rate': 0.06281255174483952}",0.777777778,0.75,0.25,0.75,0.666666667,0.763888889,0.099812984,1.093811459
lupus.csv,MCB,2,"{'k': 5, 'DSEL_perc': 0.6}",0.777777778,0.75,0.25,0.75,0.833333333,0.888888889,0.016167641,11.66600651
lupus.csv,KNORAU,2,"{'k': 2, 'DSEL_perc': 0.30000000000000004}",0.888888889,0.833333333,0.166666667,0.928571429,0.805555556,0.833333333,0.016685009,11.56083743
lupus.csv,METADES,2,"{'k': 5, 'DSEL_perc': 0.5}",0.888888889,0.833333333,0.166666667,0.928571429,0.777777778,0.805555556,0.223527193,23.04742071
lupus.csv,AdaBoostClassifier,2,"{'n_estimators': 83, 'learning_rate': 0.08034238004460402}",0.888888889,0.833333333,0.166666667,0.928571429,0.944444444,0.933333333,0.126931429,1.247194078
lupus.csv,MCB,3,"{'k': 7, 'DSEL_perc': 0.9}",0.333333333,0.3,0.7,0.214285714,0.3,0.222222222,0.016513824,11.91417376
lupus.csv,KNORAU,3,"{'k': 4, 'DSEL_perc': 0.6}",0.333333333,0.3,0.7,0.214285714,0.375,0.350198413,0.0200243,11.8001567
lupus.csv,METADES,3,"{'k': 6, 'DSEL_perc': 0.6}",0.333333333,0.3,0.7,0.214285714,0.45,0.381944444,0.226889372,23.30321736
lupus.csv,AdaBoostClassifier,3,"{'n_estimators': 45, 'learning_rate': 0.27672171995140943}",0.555555556,0.5,0.5,0.277777778,0.6,0.416666667,0.073490381,0.868108537
lupus.csv,MCB,4,"{'k': 5, 'DSEL_perc': 0.7000000000000001}",0.777777778,0.8,0.2,0.833333333,0.675,0.730555556,0.015931606,11.64997949
lupus.csv,KNORAU,4,"{'k': 4, 'DSEL_perc': 0.7000000000000001}",0.444444444,0.475,0.525,0.464285714,0.45,0.564930556,0.016129494,11.55779097
lupus.csv,METADES,4,"{'k': 5, 'DSEL_perc': 0.7000000000000001}",0.666666667,0.65,0.35,0.666666667,0.6,0.711111111,0.2242589,23.14143711
lupus.csv,AdaBoostClassifier,4,"{'n_estimators': 21, 'learning_rate': 0.20619911447725758}",0.888888889,0.875,0.125,0.916666667,0.825,0.875,0.029977083,0.396119224
lupus.csv,MCB,5,"{'k': 7, 'DSEL_perc': 0.4}",0.666666667,0.625,0.375,0.8125,0.525,0.541666667,0.017154217,11.69787513
lupus.csv,KNORAU,5,"{'k': 5, 'DSEL_perc': 0.5}",0.777777778,0.75,0.25,0.857142857,0.65,0.736111111,0.01695776,11.55840026
lupus.csv,METADES,5,"{'k': 9, 'DSEL_perc': 0.7000000000000001}",0.666666667,0.625,0.375,0.8125,0.625,0.791666667,0.226445675,23.24729496
lupus.csv,AdaBoostClassifier,5,"{'n_estimators': 12, 'learning_rate': 0.08034238004460402}",0.666666667,0.625,0.375,0.8125,0.85,0.892857143,0.016544819,0.265068478
lupus.csv,MCB,6,"{'k': 9, 'DSEL_perc': 0.8}",0.666666667,0.625,0.375,0.8125,0.75,0.861111111,0.016760111,11.68950399
lupus.csv,KNORAU,6,"{'k': 9, 'DSEL_perc': 0.8}",0.777777778,0.75,0.25,0.857142857,0.6,0.711111111,0.01609683,11.49320602
lupus.csv,METADES,6,"{'k': 9, 'DSEL_perc': 0.6}",0.555555556,0.525,0.475,0.535714286,0.775,0.708928571,0.22469759,23.14753003
lupus.csv,AdaBoostClassifier,6,"{'n_estimators': 48, 'learning_rate': 0.13303188792416612}",0.666666667,0.625,0.375,0.8125,0.7,0.708928571,0.067696571,0.868717829
lupus.csv,MCB,7,"{'k': 8, 'DSEL_perc': 0.8}",0.666666667,0.65,0.35,0.666666667,0.65,0.694444444,0.017589569,11.61985927
lupus.csv,KNORAU,7,"{'k': 9, 'DSEL_perc': 0.7000000000000001}",0.666666667,0.65,0.35,0.666666667,0.725,0.786210317,0.016084194,11.54171096
lupus.csv,METADES,7,"{'k': 9, 'DSEL_perc': 0.30000000000000004}",0.777777778,0.775,0.225,0.775,0.7,0.711805556,0.223014355,23.05791113
lupus.csv,AdaBoostClassifier,7,"{'n_estimators': 13, 'learning_rate': 0.05844658523170324}",0.666666667,0.65,0.35,0.666666667,0.75,0.788888889,0.017678976,0.278711319
lupus.csv,MCB,8,"{'k': 6, 'DSEL_perc': 0.5}",0.875,0.833333333,0.166666667,0.916666667,0.833333333,0.895833333,0.016095638,13.07868958
lupus.csv,KNORAU,8,"{'k': 5, 'DSEL_perc': 0.8}",0.75,0.733333333,0.266666667,0.733333333,0.766666667,0.488888889,0.016017199,12.984097
lupus.csv,METADES,8,"{'k': 9, 'DSEL_perc': 0.4}",0.625,0.566666667,0.433333333,0.583333333,0.8,0.7,0.224229097,26.03119612
lupus.csv,AdaBoostClassifier,8,"{'n_estimators': 46, 'learning_rate': 0.08379066068260982}",0.875,0.833333333,0.166666667,0.916666667,0.9,0.877777778,0.058603287,0.785827637
lupus.csv,MCB,9,"{'k': 9, 'DSEL_perc': 0.5}",0.75,0.8,0.2,0.8,0.9,0.875,0.017148972,13.24719191
lupus.csv,KNORAU,9,"{'k': 5, 'DSEL_perc': 0.7000000000000001}",0.5,0.6,0.4,0.714285714,0.9,0.875,0.016523361,13.05034757
lupus.csv,METADES,9,"{'k': 8, 'DSEL_perc': 0.2}",0.625,0.633333333,0.366666667,0.625,0.766666667,0.722222222,0.225682974,26.2324512
lupus.csv,AdaBoostClassifier,9,"{'n_estimators': 29, 'learning_rate': 0.18068693707447203}",0.5,0.533333333,0.466666667,0.533333333,0.733333333,0.677777778,0.041376352,0.557363033
lupus.csv,MCB,10,"{'k': 7, 'DSEL_perc': 0.8}",0.75,0.8,0.2,0.8,0.8,0.8,0.016968012,13.1213367
lupus.csv,KNORAU,10,"{'k': 9, 'DSEL_perc': 0.9}",0.75,0.8,0.2,0.8,1,1,0.016682863,12.9455328
lupus.csv,METADES,10,"{'k': 3, 'DSEL_perc': 0.9}",0.625,0.7,0.3,0.75,0.6,0.616666667,0.223734856,26.07643604
lupus.csv,AdaBoostClassifier,10,"{'n_estimators': 60, 'learning_rate': 0.06629975258679395}",0.75,0.8,0.2,0.8,0.966666667,0.958333333,0.077411175,0.984728336
